公司简称,变动数量(万股),占总股本比例,变动后持股总数(万股),变动后占总股本比例,涨跌幅
万达信息,79282.1918,71.49419999999999,1368631.7405,7.1977489177489185,-0.08945392491467569
万达电影,797.8386,0.6663,478324.963,58.19142857142857,0.14766666666666667
万通发展,31989.4905,8.9893,114065.7356,2.9215789473684213,-2.264545454545454
万通智控,5139.8243,25.7109,54217.1435,2.9159139784946237,-1.8794623655913978
万邦德,2574.0915,10.808599999999998,32411.7955,1.917605633802817,-0.6860563380281689
万邦达,14295.751600000001,15.1308,49364.4444,1.81,-1.6297222222222223
万里扬,20630.0,26.8279,373059.5,23.90869565217391,-0.6447826086956522
万里石,10924.8725,39.6688,232172.90110000002,6.952934131736527,-1.4537724550898203
万里股份,4441.1054,28.8413,22354.5543,4.2755882352941175,-1.5047058823529413
万里马,1021.72,3.0955999999999997,14915.96,4.5200000000000005,-2.256
万隆光电,1882.2246,27.4282,47869.9671,3.750537634408602,-0.5179569892473118
万集科技,361.0833,3.3411,7628.7981,2.598888888888889,0.6266666666666667
万顺新材,15089.7131,16.4086,13734.0314,2.6016666666666666,-3.766666666666666
万马科技,2444.2,18.2343,78901.77,14.360487804878048,1.0539024390243903
万马股份,39439.716,41.2744,767588.5536,16.059,-1.8657142857142854
三一重工,211090.5442,20.0091,4027131.8417,6.725324675324676,-1.664313725490196
三七互娱,102525.0308,55.5301,867210.5971,3.240344827586207,-1.6846206896551725
三丰智能,2226.2439,1.5552,244874.7291,9.505,-0.7366666666666667
三人行,0.03,0.0,0.03,0.0,-0.41
三元股份,20307.4746,17.841,880579.602,25.906,-1.2763333333333333
三六五网,7240.1602,56.210300000000004,70631.5424,4.204812030075188,1.6824999999999999
三六零,38922.3846,7.7391,173250.4106,2.5463636363636364,0.2916
三利谱,1209.5514,10.3868,87391.0062,6.70452380952381,1.913888888888889
三力士,10463.9367,27.6841,8805.036,1.3205882352941176,-2.6276470588235297
三友化工,16751.4277,9.0489,21357.4405,0.7693333333333333,-2.7766666666666664
三友医疗,1582.2795999999998,7.7133,9783.586800000001,2.804705882352941,-1.8105882352941176
三变科技,17093.6075,74.8114,53706.006,4.228412698412698,-0.4386363636363636
三只松鼠,9359.973,22.0381,445205.7766,10.574190476190475,0.3466666666666667
三圣股份,7259.9434,16.8065,2115646.3296000003,36.010441176470586,0.10830882352941175
三夫户外,16158.8443,39.7665,41212.1845,5.4991071428571425,2.298088235294118
三安光电,171528.516,30.8491,1036449.9135,6.190425531914894,-0.05660377358490563
三峡新材,13967.036,12.056799999999999,125085.1211,8.7185,0.2419999999999999
三峡水利,44548.0803,51.3584,198320.544,3.872985074626866,-1.0538356164383562
三川智慧,5232.4978,5.906,48143.9052,23.88,-1.7440000000000002
三德科技,11.46,0.0572,13812.46,34.53,-1.59
三房巷,10349.2751,13.8477,34068.0041,1.403142857142857,-0.1765
三星医疗,9947.575499999999,7.7733,839474.0425,25.18607142857143,1.6666666666666667
三星新材,660.0,6.7182,575.4,0.7166666666666667,-0.26
三晖电气,2966.1551,23.185299999999998,16233.925,4.0932258064516125,-1.8412903225806452
三木集团,58577.3523,62.1443,113919.943,4.707692307692308,0.012142857142857101
三棵树,7046.6179,19.4069,13214.0586,1.4917647058823529,0.3514634146341463
三江购物,5052.45,11.4322,93952.395,8.157142857142857,0.31466666666666665
三泰控股,12416.9841,10.1695,71470.4984,7.352499999999999,0.27
三湘印象,9747.594,10.0044,154927.8882,8.204,-0.03647058823529413
三特索道,14760.470299999999,106.0767,186431.2437,12.892149532710281,-0.39909090909090905
三盛教育,10235.3771,29.2829,75316.6792,3.938275862068966,-0.927027027027027
三祥新材,726.6179999999999,3.9962999999999997,34346.88,12.621999999999998,-2.28
三维股份,34.976,0.0,0.0,,-2.414473684210526
三维通信,6646.24,18.8977,44850.8262,5.971428571428571,1.1209523809523811
三美股份,601.5304,0.9854,45647.3584,37.39,-2.56
三联虹普,1006.4,6.7540000000000004,7231.4524,1.3452777777777778,-0.24333333333333323
三聚环保,17400.4269,8.0604,1770214.2552,22.1185,-0.8607031249999999
三花智控,27208.9867,35.1535,1003036.3311000001,40.60972972972973,-0.01162162162162163
三诺生物,5990.9266,11.5848,37263.8029,4.153235294117647,-1.4159459459459458
三超新材,1673.2661,18.0381,130740.8973,3.018624229979466,-2.427265306122449
三达膜,81.4704,0.24,81.4704,0.06,-0.03249999999999989
三鑫医疗,1644.0,6.254099999999999,9487.02,4.010000000000001,-3.03
三钢闽光,35764.0087,25.951900000000002,2321489.601,55.603235294117646,-0.6961764705882353
三雄极光,545.9872,1.9534,1554.0136,2.78,1.145
上实发展,4303.1324,3.953,6135.9492,0.47,-0.5133333333333333
上峰水泥,5854.3848,7.1959,226234.37050000002,14.634736842105264,-0.3636842105263158
上工申贝,1137.429,1.5472000000000001,41951.805,6.371666666666666,0.2257142857142857
上汽集团,19379.8244,0.0,0.0,,-0.1975
上海三毛,805.7702,4.0112,1994.3645999999999,0.901818181818182,-0.30846153846153845
上海临港,6892.9146,16.616500000000002,8144.7068,0.2763013698630137,-1.8497701149425287
上海九百,5746.4424,14.286999999999999,46479.6971,3.132162162162162,0.4735135135135135
上海凤凰,4013.152,9.9805,104887.4664,20.06076923076923,-1.706923076923077
上海凯宝,17075.429799999998,3.8744,58637.17139999999,9.123333333333333,-1.2050000000000003
上海医药,14832.2678,5.5168,213048.6902,13.206666666666665,0.10000000000000003
上海天洋,772.89,8.116,12849.388,4.5893749999999995,0.01718749999999999
上海家化,14245.0732,11.8268,186201.2243,14.53842105263158,1.3926666666666665
上海建工,50897.754199999996,4.1216,132730.08779999998,2.9840000000000004,-0.05666666666666667
上海新阳,7581.9561,24.5675,121575.0261,9.535686274509803,2.880689655172414
上海易连,767.9753999999999,1.3495,80738.90900000001,18.02,-4.88
上海机电,2259.6644,2.2062,536157.7381,34.95133333333333,0.26466666666666666
上海梅林,21015.9149,28.0673,319276.2547,6.851129032258064,-0.3338961038961039
上海沪工,354.694,1.1157,14039.4682,3.396153846153846,-0.08846153846153845
上海洗霸,1040.9886999999999,9.4546,7268.6826,4.759285714285714,0.9628571428571429
上海瀚讯,2514.3818,9.039100000000001,9488.2096,3.3466666666666662,-0.266
上海环境,45471.7908,46.845600000000005,335216.1409,4.4062820512820515,-0.43538461538461537
上海电力,87059.668,35.5005,2270808.7644,10.784146341463416,-0.40975609756097564
上海电气,145629.5729,11.3275,6167629.4831,36.997692307692304,0.03249999999999999
上海石化,575.73,0.0,0.0,,1.172
上海莱士,144207.8281,27.8311,21156886.0029,11.542170542635658,-0.598375
上海贝岭,1385.1572,2.0558,36087.44,26.78,0.645
上海钢联,7508.3533,49.887100000000004,143154.56279999999,17.105172413793102,-0.2674137931034483
